"","X","Y","Above.Ground","Color"
"290",-73.9679661308374,40.7837388390673,"10","999999"
"291",-73.9674069524601,40.7772529662424,"0","999999"
"292",-73.9696173677837,40.7705202790525,"0","999999"
"293",-73.9756573579063,40.7656644063024,"15","999999"
"294",-73.9700691629574,40.7828893645197,"0","999999"
"295",-73.9596964641652,40.7957753591585,"0","999999"
"296",-73.9685604013735,40.7773439909065,"0","999999"
"297",-73.957342596188,40.7944359654227,"0","247450"
"298",-73.9586214081667,40.7937473968735,"2","999999"
"299",-73.9528149779809,40.7924984810637,"10","999999"
"300",-73.9717425494287,40.7664227676653,"0","999999"
"301",-73.9695176417703,40.7741725190048,"0","999999"
"302",-73.9762348224648,40.7694522315322,"0","247450"
"303",-73.9523001834395,40.7949231000186,"0","999999"
"304",-73.9750283794865,40.7724101927821,"0","247450"
"305",-73.9689700100267,40.7775169562765,"20","999999"
"306",-73.9683965841952,40.7718679848978,"0","999999"
"307",-73.9554095823557,40.7887305802044,"0","999999"
"308",-73.9696001184129,40.7820810673532,"0","999999"
"309",-73.9795081274695,40.7691431548544,"0","999999"
"310",-73.9578779556574,40.7934116539732,"0","999999"
"311",-73.958356112357,40.796014459571,"0","999999"
"312",-73.9646610347972,40.7790583544252,"0","999999"
"313",-73.960601067176,40.7917243850136,"0","999999"
"314",-73.9539734770934,40.7956055442,"0","999999"
"315",-73.9540616660191,40.7951556603245,"0","999999"
"316",-73.9545799024508,40.7908084039886,"15","999999"
"317",-73.9743990576746,40.7768690723163,"1","999999"
"318",-73.9659034359706,40.7797516688844,"8","247450"
"319",-73.9684376038582,40.7824275067237,"0","247450"
"320",-73.9694288806212,40.7842952265291,"0","999999"
"321",-73.9546042927016,40.7898133734952,"0","999999"
"322",-73.9573469787503,40.7944044592573,"0","999999"
"323",-73.9587879699956,40.7908135158551,"0","999999"
"324",-73.9630990823243,40.7885764284016,"0","000000"
"325",-73.9699843570636,40.7729480440312,"80","999999"
"326",-73.9534306291679,40.7959052073753,"0","999999"
"327",-73.9652357279671,40.7819296887147,"0","999999"
"328",-73.967832992543,40.7783669913408,"0","999999"
