X,Y,height,Color,Details
-73.9719729323923,40.7668318394546,28,,Tree
-73.9527227282134,40.7935061484064,4,Cinnamon,in tree
-73.9701010964667,40.7688919314508,0,Black,Bushes
-73.9512120949478,40.7947945266515,0,Gray,along the road
-73.974451175321,40.7701294635264,0,Cinnamon,small open area but w/ 7 large oak trees
-73.9730454295997,40.7702909454392,0,Gray,bush
-73.9705509170542,40.7689416540228,0,Black,Grass
-73.9694169352433,40.7744408293858,0,Cinnamon,bushes
-73.9765758043111,40.7713803154032,8,Gray,another tree
-73.9772164524209,40.7688399538756,10,Gray,tree
-73.9643032554205,40.7794514526463,0,Gray,near base of small tree
-73.9774928245781,40.7720464606979,0,Gray,by bike racks at Tavern on the Green
-73.9735655529245,40.7716072681474,0,Gray,Ground & Tree Base
-73.9631350020634,40.791907210332,25,Gray,in tree
-73.9702717260829,40.768951107763,0,Cinnamon,"Flowers, grass"
-73.9681627331154,40.7785099665602,0,Gray,On the rock
-73.9542733797804,40.795578653743,20,Gray,tree
-73.95488263914,40.7959474571251,2,Cinnamon,up/down tree
-73.9602808042376,40.7906130788763,50,Gray,literally fell to ground from 50 feet up
-73.9681202146851,40.7743979416812,0,Gray,lawn @ edge of landscaped area
-73.9746204802221,40.7699294840733,0,,along dirt path by cross-town car road. saw movement in a shrub/then caught sight a little fluffy tail
-73.973230162241,40.7689824531444,5,Gray,fence
-73.9802840031759,40.7678599069819,25,Gray,in tree
-73.9647605121306,40.7803961531517,12,Gray,in tree
-73.9601918930677,40.7944134683406,20,Gray,(white oak)
-73.9760749752948,40.7703284894392,2,Gray,On low fence
-73.9555856074105,40.7969457685677,0,Gray,on rocks/bushy rocks
-73.9532074573139,40.7934669464908,40,Gray,tree
-73.9588610195699,40.7945269936639,0,Gray,Crossing path
-73.9735137178369,40.769109895294,2,Gray,branch
-73.9608167300104,40.7954348688268,0,Gray,EDGE OF WOODS
-73.9706586108006,40.7796357444471,20,Gray,in a tree
-73.9728339757306,40.7782891207966,20,Gray,running up and down
-73.968021326951,40.7778807692445,0,Gray,Big rock in meadow
-73.9689305978751,40.7818152496266,2,Gray,Climbed fence
-73.9746128451271,40.7700957046709,0,Cinnamon,small open area but w/ 7 large oak trees
-73.9690645326017,40.7773822116124,2,Gray,on fallen log
-73.9597462612063,40.7832801145306,20,,up in tree
-73.9673129010312,40.7778169845999,0,Gray,Pine tree near utility shed
-73.9619985187616,40.7943277743532,10,Gray,chasing from tree to ground
-73.9768309556127,40.7717803706095,0,Gray,"Started in field, crossed busy street, ran up tree"
-73.9611312355348,40.7950130863913,0,Gray,ON ROCK NEAR POND
-73.9676539688726,40.7777229934129,0,Gray,near fence
-73.9545425520879,40.7956853415959,35,Gray,in tree
-73.9746049088475,40.7728776887397,0,Gray,"behind fence, safe"
-73.9752029513644,40.7671734667361,0,Cinnamon,on a rock
-73.9770119133023,40.7732949090005,4,,fence
-73.9736873018042,40.7649106677138,1,Gray,tree
-73.9617519095277,40.7947179071388,0,Gray,In the weeds by the pool
-73.9594391759139,40.784115697669,15,Gray,tree
-73.9701408623121,40.7695511718541,0,Cinnamon,Grass
-73.9564632239432,40.7904807427954,13,Cinnamon,shelter in hole in tree
-73.9653135277149,40.7817434070169,20,Gray,in tree
-73.9734654671008,40.7715988711659,0,Gray,"5, 6, 7 all at same tree trunk base"
-73.9762494239719,40.7750175306716,0,Cinnamon,near Strawberry Fields
-73.9800499498034,40.7702181099573,0,Gray,At rock
-73.974519308015,40.7691228794395,8,Gray,trellis
-73.9561600237284,40.7953143196705,1,Gray,over a log across stream
-73.9589698681439,40.7906520520417,0,Gray,treed area
-73.9593373093799,40.7982428507976,6,Gray,Jumped from ground onto branch
-73.973268329435,40.7708296517073,25,Gray,in tree
-73.9568610943394,40.7935959584643,28,Gray,on tree branch
-73.965675791028,40.7887310058451,0,Gray,By large tree chasing #1
-73.9763542780331,40.7736531303622,1,Gray,in bush
-73.9682676237703,40.7772653590224,0,Gray,on path
-73.9692472299565,40.7722592187215,15,Gray,in tree
-73.9563652303243,40.7955127873968,0,Gray,on log
-73.9640741640547,40.7807274581426,7,Gray,Tree limb
-73.967975586222,40.7735683044313,0,Gray,grass field
-73.9639700434449,40.7775003050028,0,Cinnamon,Running across fence between statue & swings
-73.9736995552241,40.7722712518637,10,Black,in tree
-73.9688438058715,40.7703014325728,20,Gray,tree
-73.958719099962,40.7947587726617,15,Gray,Ground then tree to eat
-73.9721086069437,40.7698172190404,0,Gray,grass
-73.9728170980779,40.7703557830437,28,Gray,in hole in tree
-73.9640945609381,40.7910513041359,0,Gray,Rock
-73.9685567075413,40.7703797723105,3,Gray,bush
-73.9697178096275,40.7697036696301,0,Gray,Under the tree
-73.9736418085696,40.7716931127716,0,Gray,in grass by a grove of tall maples
-73.9590074024938,40.7907059424675,0,Gray,treed area
-73.9711378905748,40.7696218346333,0,Gray,on rock (large)
-73.9518008149564,40.7953738093588,0,Gray,base of tree
-73.9655925527354,40.7760049171097,0,Gray,lawn
-73.9623621412501,40.7814673556041,4,Gray,chased squirrel #2 away
-73.9618076359384,40.7947808718203,3,Gray,in tree
-73.9728797531377,40.7786733148687,20,Gray,in tree
-73.9682830510954,40.7810151087286,5,Gray,on branch of dead tree
-73.9694344956258,40.7742869276902,40,Gray,in tree
-73.9745204169071,40.7736282868469,40,Gray,Tree
-73.9748367344424,40.7693513000034,10,Cinnamon,oak tree at end of ramp from Chess House
-73.9541601469123,40.7907832744689,0,Gray,across the lawn and climb up a small tree
-73.97107389601,40.7723265810536,10,Gray,Same tree (as #6)
-73.9684058476942,40.7753959833776,15,Gray,willow oak tree
-73.9698064901149,40.7842538115839,0,Gray,Tree & ground
-73.9756278240233,40.7669523701372,5,Gray,in tree
-73.9544372297722,40.7942113164104,0,Gray,ran under dumpster w/ nut
-73.9533085932603,40.7934877861075,43,,tree
-73.9667911565238,40.779321901098,0,Gray,In small tree by water
-73.9540151828782,40.7920066170587,15,Cinnamon,Climbing up tree
-73.9704790263224,40.7762270645666,0,Gray,in middle of path
-73.9631464693769,40.793415656751,10,Gray,Tree cavity [of] London Plane tree
-73.9591880400132,40.7950071252836,0,Gray,Clearing near bike path (bikes active)
-73.9586570546871,40.796349417475,3,Gray,Between ground & tree
-73.972154069981,40.7690128009722,0,Gray,grass
-73.9639505810228,40.789573183584,4,Cinnamon,climbing trees
-73.9566705412766,40.7935560645735,0,Gray,Near rock
-73.9622752768962,40.7814921913101,4,Cinnamon,low branch
-73.9538377039825,40.7980605334961,20,Gray,in tree
-73.9725700261894,40.7668793330427,0,Gray,under a parked car
-73.9667694439895,40.7779501809095,10,Gray,tree & ground
-73.9676246014119,40.786355136088,45,Gray,in tree
-73.9562733511031,40.7993142101839,0,Gray,Crossing street
-73.9525627119429,40.7938602867464,0,Gray,hanging out w/ Squirrel #1
-73.9676112864286,40.7772792086081,0,Gray,road
-73.9725077933574,40.7654562710325,2,Gray,Sitting on back of bench with food hanging from mouth
-73.9647151303629,40.7912681060756,0,Gray,Rock
-73.9658203999388,40.7775874026824,0,Gray,base of tree
-73.9730039581521,40.7730688398468,0,Gray,underneath a tree
-73.967472660349,40.7772125619715,4,Gray,Woods
-73.975198284551,40.7740343763399,16,Gray,tree
-73.9651250402583,40.7812884929069,20,Gray,climbed tree
-73.9547398684817,40.7896483795302,0,Gray,edge of park @ 98th (north)
-73.9657171357842,40.7773277532224,5,Gray,tree
-73.9643664403785,40.7793670703727,0,Gray,near base of small tree
-73.9686370726471,40.7780382348833,3,Cinnamon,On trunk
-73.9758211560957,40.7693422860766,6,Gray,up a tree
-73.967334936601,40.7773289724189,0,Gray,Woods
-73.9676113345824,40.7803482448467,0,Gray,Baseball field #3
-73.9623356369432,40.7888693815168,0,Gray,Rocky area
-73.9698080328304,40.7842252948542,0,Gray,Tree & ground
-73.9594986107981,40.7840083040604,8,Cinnamon,"on turn, see map"
-73.9674978826751,40.776288410765,1,Gray,on a log
-73.9566277721581,40.7966674587803,10,Gray,on tree trunk (descending from height of ~10 ft)
-73.9748522796455,40.7719586621003,0,Gray,outside fenced hectare
-73.9559520137172,40.7950536287174,1,Gray,branches
-73.973394428186,40.7722933513053,0,Gray,in between 2 trees
-73.9709991016317,40.7725756707748,0,Gray,"Behind fence, grass"
-73.9547785081171,40.789612183711,3,Gray,edge of park @ 98th
-73.9609692861012,40.790502891247,0,Gray,Crossing path to tree
-73.9727926335397,40.77037055775,28,Gray,next to the hole of #6
-73.9698044218476,40.7697007833531,0,Cinnamon,Under the tree
-73.9767143644151,40.7684756941321,25,Cinnamon,tree
-73.9722056538718,40.7805111762703,15,Gray,tree
-73.9745800592393,40.767356541975,0,Gray,close to tall tree & light post
-73.9646174034945,40.7781287528262,0,Gray,Running from one tree to the other
-73.9730284815849,40.7702462529502,0,Gray,bush
-73.965738547469,40.7886962740167,0,Gray,By large tree
-73.9727310397798,40.7787016773517,0,Gray,tree
-73.9708564226824,40.7726219968014,0,Gray,Across Arbor path into hill w/ bushes
-73.9729190572117,40.770018150905,50,Gray,top of tree
